condition,policy_name,sample_count,action_utility,mask_f1,compression_cost,generator_score,ood_generalization_score,gain_over_random,gain_over_hand_designed,oracle_gap,invalid_metric_count,episode_id,action_type,region_id,action_score,direct_mask_precision,direct_mask_recall,indirect_mask_precision,indirect_mask_recall
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10004,indirect_stabilize,1,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.9,0.3333333333333333,0.625,0.6491666666666667,,,,,,10005,indirect_stabilize,15,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10006,indirect_stabilize,3,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.2,0.3333333333333333,0.625,0.26416666666666666,,,,,,10007,apply_local_damping,4,0.2,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10008,indirect_stabilize,5,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.0,0.625,0.09250000000000001,,,,,,10009,indirect_stabilize,6,0.1,0.0,0.0,0.0,0.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10010,indirect_stabilize,7,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.0,0.625,0.09250000000000001,,,,,,10011,indirect_stabilize,8,0.1,0.0,0.0,0.0,0.0
compression_required,g1_1_no_compression,,0.2,0.3333333333333333,0.625,0.26416666666666666,,,,,,10012,apply_local_damping,4,0.2,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.0,0.625,0.09250000000000001,,,,,,10013,indirect_stabilize,10,0.1,0.0,0.0,0.0,0.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10014,indirect_stabilize,11,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10015,indirect_stabilize,12,0.1,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.2,0.3333333333333333,0.625,0.26416666666666666,,,,,,10016,apply_local_damping,13,0.2,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.1,0.3333333333333333,0.625,0.20916666666666667,,,,,,10017,indirect_stabilize,14,0.1,0.0,0.0,0.5,1.0
